오빠생각,2.42378,"242,378",한국,12세이상관람가,"드라마,전쟁",이한,임시완|고아성|이희준|이준혁|정준원|이레|김영재|임윤경|정대웅|정병두|정세훈|이건하|이성욱|이승빈|이승준|이연화|홍동영|홍솔
좋아해줘,2.34989,"234,989",한국,12세이상관람가,"멜로/로맨스,코미디",박현진,이미연|최지우|김주혁|유아인|강하늘|이솜|하석진|지윤호|한재영|선주아|이춘우|이한승|이현서|장원진|전호성|송창현|이서연|이성진|이승연
허삼관,2.33911,"233,911",한국,12세이상관람가,드라마,하정우,하정우|하지원|전혜진|장광|주진모|성동일|이경영|김영애|정만식|조진웅|김기천|김성균|윤은혜|황보라|강민지|전현석|정우진|이경원|이민호|이수인|이승준|이승호|김재화|김시은
"고산자, 대동여지도",2.3361,"233,610",한국,전체관람가,사극,강우석,차승원|유준상|김인권|남지현|신동미|남경읍|태인호|공형진|김종수
하트 오브 더 씨,2.27389,"227,389",미국,12세이상관람가,"액션,어드벤처,드라마",론 하워드,크리스 헴스워스|킬리언 머피|벤 위쇼|샬롯 라일리|브렌단 글리슨|벤자민 워커
미쓰 와이프,2.24095,"224,095",한국,15세이상관람가,코미디,강효진,엄정화|송승헌|김상호|라미란|서신애|임보경|강현구|백승호|정지안|조훈휘|최윤철|유영채|홍석현|이승호|이연주|이은정|고수희|안소연|양도연|염동현|황석하|정지훈|조덕제|김병춘|최종률|정유석|이용녀|최일화
그놈이다,2.23764,"223,764",한국,15세이상관람가,스릴러,윤준형,주원|유해진|이유영|류혜영|서현우|이준혁|윤석진|김민서|김현정|박지윤|장인섭|윤다경
레전드 오브 타잔,2.22047,"222,047",미국,12세이상관람가,"액션,어드벤처",데이빗 예이츠,알렉산더 스카스가드|마고 로비|크리스토프 왈츠|사무엘 L. 잭슨|자이몬 훈수|존 허트|짐 브로드벤트
빅쇼트,2.1587,"215,870",미국,청소년관람불가,드라마,아담 맥케이,크리스찬 베일|스티브 카렐|라이언 고슬링|브래드 피트
손님,2.13281,"213,281",한국,15세이상관람가,"판타지,공포(호러)",김광태,류승룡|이성민|천우희|이준|정경호|김정영|박시연|이민지|백승호|유재현|이서연|이승준|전국환|정준원
런던 해즈 폴른,2.07992,"207,992","미국,영국",15세이상관람가,"액션,범죄,스릴러",바박 나자피,제라드 버틀러|아론 에크하트|모건 프리먼|안젤라 바셋
인페르노,2.06359,"206,359","미국,일본,터키,헝가리",15세이상관람가,"미스터리,스릴러",론 하워드,톰 행크스|펠리시티 존스|벤 포스터|이르판 칸|오마 사이|시드 바벳 크누센|안나 울라루
신데렐라,2.05943,"205,943",미국,전체관람가,멜로/로맨스,케네스 브래너,릴리 제임스|리처드 매든|케이트 블란쳇|헬레나 본햄 카터|홀리데이 그레인저|소피 맥쉐라
살인의뢰,2.0183,"201,830",한국,청소년관람불가,"범죄,스릴러",손용호,김상경|김성균|박성웅|윤승아|조재윤|김의성|기주봉|홍성덕|오대환|이정훈|이진수|박소희|박일우|박혜미|송영창|태욱|김덕순|이다희|이상인|이용출|임종윤
픽셀,1.95473,"195,473",미국,12세이상관람가,"액션,어드벤처",크리스 콜럼버스,아담 샌들러|케빈 제임스|미셸 모나한|피터 딘클리지|애슐리 벤슨
인시디어스 3,1.91674,"191,674",미국,15세이상관람가,공포(호러),리 워넬,스테파니 스콧|더못 멀로니|린 샤예
설리: 허드슨강의 기적,1.91644,"191,644",미국,12세이상관람가,드라마,클린트 이스트우드,톰 행크스|아론 에크하트|로라 린니
열정같은소리하고있네,1.77071,"177,071",한국,15세이상관람가,드라마,정기훈,정재영|박보영|오달수|배성우|류덕환|류현경|진경|윤균상|최홍원|김보람|김정훈|서동원|신정훈|육진영|이미경|이상훈|이영진|이병준|유하복
그날의 분위기,1.71974,"171,974",한국,15세이상관람가,멜로/로맨스,조규장,김정희|문채원|유연석|조재윤|김슬기|이해영|이연두|박민우|이창해|인교진|임영|박태영|정경옥|박호진|정라엘|서정희|오형근|이범희|이은정
국가대표 2,1.69146,"169,146",한국,12세이상관람가,드라마,김종현,수애|오달수|오연서|하재숙|김슬기|김예원|진지희|임진영|박진하|전송이|방추성|백상훈|서은정|조규영|안승호|조수지|조희윤|이경선|이민지|이선미|이영화
채피,1.67772,"167,772",미국,15세이상관람가,"액션,스릴러",닐 블롬캠프,휴 잭맨|샬토 코플리|시고니 위버|데브 파텔
특종: 량첸살인기,1.65767,"165,767",한국,15세이상관람가,스릴러,노덕,조정석|이미숙|이하나|김의성|배성우|김대명|태인호|김수안|김기호|김민재|오주환|이정은|최병모|윤다경
고스트버스터즈,1.65403,"165,403",미국,12세이상관람가,"액션,코미디,SF",폴 페이그,멜리사 맥카시|크리스 헴스워스|크리스틴 위그|케이트 맥키넌|레슬리 존스
